"Year after 
production","Softwood 
lumber","Hardwood 
lumber","Softwood 
plywood","Oriented 
strandboard","Non-structural 
panels","Miscellaneous 
products",Paper
71,0.314,0.106,0.332,0.446,0.21,0.017,0
72,0.311,0.104,0.329,0.442,0.207,0.016,0
73,0.308,0.102,0.325,0.438,0.204,0.015,0
74,0.304,0.1,0.321,0.435,0.201,0.014,0
75,0.301,0.098,0.318,0.431,0.198,0.013,0
76,0.298,0.096,0.314,0.427,0.195,0.012,0
77,0.295,0.095,0.311,0.423,0.192,0.012,0
78,0.292,0.093,0.308,0.42,0.189,0.011,0
79,0.289,0.091,0.304,0.416,0.186,0.01,0
80,0.286,0.09,0.301,0.413,0.183,0.01,0
81,0.283,0.088,0.298,0.409,0.181,0.009,0
82,0.28,0.086,0.295,0.406,0.178,0.009,0
83,0.277,0.085,0.292,0.402,0.175,0.008,0
84,0.274,0.083,0.289,0.399,0.173,0.008,0
85,0.271,0.082,0.286,0.395,0.17,0.007,0
86,0.269,0.081,0.283,0.392,0.168,0.007,0
87,0.266,0.079,0.28,0.389,0.166,0.007,0
88,0.263,0.078,0.277,0.386,0.163,0.006,0
89,0.261,0.076,0.274,0.382,0.161,0.006,0
90,0.258,0.075,0.271,0.379,0.159,0.006,0
91,0.256,0.074,0.269,0.376,0.156,0.005,0
92,0.253,0.073,0.266,0.373,0.154,0.005,0
93,0.251,0.071,0.263,0.37,0.152,0.005,0
94,0.248,0.07,0.261,0.367,0.15,0.004,0
95,0.246,0.069,0.258,0.364,0.148,0.004,0
96,0.243,0.068,0.255,0.361,0.146,0.004,0
97,0.241,0.067,0.253,0.358,0.144,0.004,0
98,0.239,0.066,0.25,0.355,0.142,0.003,0
99,0.236,0.065,0.248,0.352,0.14,0.003,0
100,0.234,0.064,0.245,0.349,0.138,0.003,0
